filename,case_id,image_id,class_id,class_name,x_center,y_center,width,height,x_center_abs,y_center_abs,width_abs,height_abs,area_abs
Case_1-01,Case_1,01,2,Tumor_nuclei,0.046324,0.071777,0.020588,0.041992,63.00064,73.499648,27.999679999999998,42.999808,1203.98086406144
Case_1-01,Case_1,01,2,Tumor_nuclei,0.053309,0.229492,0.031618,0.029297,72.50024,234.999808,43.00048,30.000128,1290.01990406144
Case_1-01,Case_1,01,2,Tumor_nuclei,0.054412,0.262695,0.035294,0.03125,74.00032,268.99968,47.99984,32.0,1535.99488
Case_1-01,Case_1,01,2,Tumor_nuclei,0.084191,0.237305,0.025735,0.037109,114.49976000000001,243.00032,34.9996,37.999616,1329.9713601536002
Case_1-01,Case_1,01,2,Tumor_nuclei,0.087868,0.302246,0.030147,0.043945,119.50048,309.499904,40.99992,44.99968,1844.9832800256002
Case_1-01,Case_1,01,2,Tumor_nuclei,0.065809,0.349121,0.040441,0.040039,89.50024,357.499904,54.999759999999995,40.999936,2254.9866400153596
Case_1-01,Case_1,01,2,Tumor_nuclei,0.141176,0.295898,0.029412,0.03125,191.99936,302.999552,40.00032,32.0,1280.01024
Case_1-01,Case_1,01,2,Tumor_nuclei,0.144853,0.328125,0.025,0.03125,197.00008000000003,336.0,34.0,32.0,1088.0
Case_1-01,Case_1,01,2,Tumor_nuclei,0.122426,0.256836,0.027206,0.03125,166.49936,263.000064,37.00016,32.0,1184.00512
Case_1-01,Case_1,01,2,Tumor_nuclei,0.160662,0.231445,0.0375,0.025391,218.50032,236.99968,51.0,26.000384,1326.0195840000001
Case_1-01,Case_1,01,2,Tumor_nuclei,0.176471,0.192383,0.032353,0.03125,240.00055999999998,197.000192,44.00008,32.0,1408.00256
Case_1-01,Case_1,01,2,Tumor_nuclei,0.21875,0.194336,0.024265,0.023438,297.5,199.000064,33.0004,24.000512,792.0264962048
Case_1-01,Case_1,01,2,Tumor_nuclei,0.251103,0.245605,0.031618,0.038086,341.50008,251.49952,43.00048,39.000064,1677.0214720307201
Case_1-01,Case_1,01,2,Tumor_nuclei,0.248529,0.288086,0.029412,0.029297,337.99944,295.000064,40.00032,30.000128,1200.0147200409601
Case_1-01,Case_1,01,2,Tumor_nuclei,0.237868,0.325195,0.036029,0.023438,323.50048,332.99968,48.99944,24.000512,1176.0116477132801
Case_1-01,Case_1,01,2,Tumor_nuclei,0.225735,0.356934,0.030882,0.022461,306.9996,365.500416,41.99952,23.000064,965.9916479692798
Case_1-01,Case_1,01,2,Tumor_nuclei,0.196324,0.305664,0.030882,0.03125,267.00064,312.999936,41.99952,32.0,1343.98464
Case_1-01,Case_1,01,2,Tumor_nuclei,0.191544,0.276855,0.025735,0.020508,260.49984,283.49952,34.9996,21.000192,734.9983199231999
Case_1-01,Case_1,01,2,Tumor_nuclei,0.175735,0.338379,0.023529,0.02832,238.99960000000002,346.500096,31.999440000000003,28.99968,927.9735201792001
Case_1-01,Case_1,01,2,Tumor_nuclei,0.336029,0.149414,0.025,0.037109,456.99944000000005,152.999936,34.0,37.999616,1291.9869440000002
Case_1-01,Case_1,01,2,Tumor_nuclei,0.377574,0.119141,0.027206,0.027344,513.50064,122.000384,37.00016,28.000256,1036.01395204096
Case_1-01,Case_1,01,2,Tumor_nuclei,0.363971,0.147461,0.022059,0.025391,495.00056,151.000064,30.000239999999998,26.000384,780.01776009216
Case_1-01,Case_1,01,2,Tumor_nuclei,0.358824,0.181152,0.016176,0.026367,488.00064,185.499648,21.99936,26.999808,593.9784961228801
Case_1-01,Case_1,01,2,Tumor_nuclei,0.33125,0.215332,0.025735,0.03418,450.5,220.499968,34.9996,35.00032,1224.997199872
Case_1-01,Case_1,01,2,Tumor_nuclei,0.350735,0.257324,0.020588,0.024414,476.99960000000004,263.499776,27.999679999999998,24.999936,699.9902080204799
Case_1-01,Case_1,01,2,Tumor_nuclei,0.397794,0.171875,0.025,0.033203,540.99984,176.0,34.0,33.999872,1155.995648
Case_1-01,Case_1,01,2,Tumor_nuclei,0.379412,0.199219,0.019118,0.025391,516.00032,204.000256,26.00048,26.000384,676.02246418432
